station_name,description,latitude,longitude,source_group,source_url,status_note,distance_m,example_start_latitude,example_start_longitude,example_search_radius_m,example_note
Matthews Building B,Laundry Room,32.8786974,-117.2308002,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.,105.0,32.878353,-117.231842,500,Saved demonstration point; not a live location or walking route.
Foodworx,No details provided,32.878812,-117.23043,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.,142.0,32.878353,-117.231842,500,Saved demonstration point; not a live location or walking route.
Dogg House,No details provided,32.8778572,-117.2332594,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.,144.0,32.878353,-117.231842,500,Saved demonstration point; not a live location or walking route.
